SubscriptionID,CustomerID,ProductID,StartDate,EndDate,MonthlyFee,Status
S00001,C0205,P030,2024-11-13,,19.99,Active
S00002,C0177,P014,2023-06-10,,29.99,Active
S00003,C0634,P014,2023-11-11,,29.99,Active
S00004,C0250,P014,2025-01-10,,29.99,Active
S00005,C0853,P028,2025-10-20,,29.99,Active
S00006,C0307,P004,2025-11-16,2026-08-21,79.99,Churned
S00007,C0476,P026,2025-06-14,,49.99,Active
S00008,C0519,P013,2025-07-12,2026-03-28,19.99,Churned
S00009,C0298,P007,2024-10-29,,49.99,Active
S00010,C0744,P001,2023-04-12,,149.99,Active
S00011,C0962,P001,2024-10-20,,149.99,Active
S00012,C0042,P017,2024-09-27,2025-04-02,149.99,Churned
S00013,C0710,P019,2025-04-23,,19.99,Active
S00014,C0671,P027,2023-11-13,,99.99,Active
S00015,C0331,P011,2024-11-10,,79.99,Active
S00016,C0177,P009,2025-08-24,,49.99,Active
S00017,C0560,P010,2024-01-15,,149.99,Active
S00018,C0671,P008,2025-10-19,,79.99,Active
S00019,C0629,P004,2023-10-23,2024-03-07,79.99,Churned
S00020,C0756,P008,2024-11-09,,79.99,Active
S00021,C0663,P023,2023-08-02,2023-10-28,79.99,active
S00022,C0149,P025,2023-01-21,,19.99,Active
S00023,C0347,P026,2025-07-22,,49.99,Active
S00024,C0326,P004,2025-12-16,,79.99,Active
S00025,C0231,P026,2025-03-05,,49.99,Active
S00026,C0753,P017,2024-02-28,,149.99,Active
S00027,C0953,P022,2025-03-23,2026-04-02,19.99,Churned
S00028,C0208,P018,2023-03-18,,99.99,Active
S00029,C0295,P029,2024-11-06,,49.99,Active
S00030,C0612,P024,2023-11-01,,79.99,Active
S00031,C0585,P028,2024-09-18,,29.99,Active
S00032,C0678,P028,2023-02-07,,29.99,Active
S00033,C0414,P016,2024-06-06,,49.99,Active
S00034,C0412,P003,2023-11-15,2025-02-11,79.99,Churned
S00035,C0533,P017,2024-04-17,,149.99,Active
S00036,C0557,P015,2024-10-19,,49.99,Active
S00037,C0295,P022,2024-10-27,,19.99,Active
S00038,C0048,P024,2023-11-12,,79.99,Active
S00039,C0438,P019,2025-08-16,,19.99,Active
S00040,C0227,P003,2025-07-08,,79.99,Active
S00041,C0980,P003,2024-11-26,,79.99,Active
S00042,C0443,P017,2024-12-06,,149.99,Active
S00043,C0927,P001,2025-08-24,2026-07-17,149.99,Churned
S00044,C0618,P024,2023-03-31,,79.99,Active
S00045,C0059,P008,2024-04-08,,79.99,Active
S00046,C0974,P013,2023-06-15,,19.99,Active
S00047,C0072,P013,2025-01-05,,19.99,Active
S00048,C0108,P022,2024-06-23,,19.99,Active
S00049,C0049,P006,2024-03-06,2025-02-06,19.99,Churned
S00050,C0784,P002,2024-02-18,,29.99,Active
S00051,C0822,P007,2025-04-26,,49.99,Active
S00052,C0581,P030,2024-04-23,,19.99,Active
S00053,C0985,P027,2023-05-25,,99.99,Active
S00054,C0445,P006,2024-02-01,,19.99,Active
S00055,C0961,P007,2025-02-16,2026-05-23,49.99,Churned
S00056,C0159,P004,2025-05-11,,,Active
S00057,C0747,P016,2023-01-17,,49.99,Active
S00058,C0126,P004,2023-02-19,,79.99,Active
S00059,C0210,P029,2023-10-10,2024-05-11,49.99,Churned
S00060,C0658,P021,2025-07-04,,49.99,Active
S00061,C0583,P027,2025-01-22,,99.99,Active
S00062,C0362,P007,2024-07-21,2025-06-01,49.99,Churned
S00063,C0165,P030,2024-09-27,2025-05-14,19.99,Churned
S00064,C0371,P026,2025-08-12,,49.99,Active
S00065,C0864,P006,2025-04-01,,19.99,Active
S00066,C0585,P025,2023-01-17,,19.99,Active
S00067,C0643,P006,2025-11-25,2026-08-24,19.99,Churned
S00068,C0546,P003,2023-04-27,,79.99,Active
S00069,C0543,P026,2023-07-01,,49.99,Active
S00070,C0750,P006,2023-05-17,2024-05-04,19.99,Churned
S00071,C0855,P018,2023-03-01,2023-05-19,99.99,Churned
S00072,C0098,P026,2023-03-11,2024-02-26,49.99,Churned
S00073,C0537,P003,2024-04-01,2024-12-13,79.99,Churned
S00074,C0840,P024,2023-03-05,,79.99,Active
S00075,C0543,P024,2025-09-05,2026-07-04,79.99,Churned
S00076,C0964,P021,2024-12-05,,49.99,Active
S00077,C0105,P016,2025-06-27,2025-10-21,49.99,Churned
S00078,C0099,P030,2023-04-21,2023-11-12,19.99,Churned
S00079,C0065,P010,2023-03-17,2024-07-27,149.99,Churned
S00080,C0801,P024,2025-08-27,,79.99,Active
S00081,C0997,P010,2024-03-30,,149.99,Active
S00082,C0907,P005,2023-10-31,2024-02-27,79.99,Churned
S00083,C0681,P023,2025-09-12,,79.99,Active
S00084,C0489,P029,2025-09-26,,49.99,Active
S00085,C0613,P002,2025-10-02,,29.99,Active
S00086,C0239,P022,2023-02-02,2024-01-09,19.99,Churned
S00087,C0307,P027,2024-02-03,,99.99,Active
S00088,C0681,P001,2023-07-21,2024-03-17,149.99,Churned
S00089,C0969,P002,2025-11-30,,29.99,Active
S00090,C0758,P012,2023-11-18,2024-12-16,49.99,Churned
S00091,C9999,P003,2023-12-24,,79.99,Active
S00092,C0610,P023,2024-06-26,,79.99,Active
S00093,C0018,P002,2025-01-19,2025-04-24,29.99,Churned
S00094,C0344,P023,2024-01-13,,79.99,Active
S00095,C0932,P021,2024-03-30,,49.99,Active
S00096,C0837,P019,2024-12-09,2025-07-11,19.99,Churned
S00097,C0816,P025,2023-06-23,,19.99,Active
S00098,C0876,P030,2024-08-02,,19.99,Active
S00099,C0365,P002,2025-01-29,,29.99,Active
S00100,C0708,P011,2025-03-07,,79.99,Active
S00101,C0383,P030,2025-08-06,,19.99,Active
S00102,C0995,P004,2025-08-10,,79.99,Active
S00103,C0091,P023,2025-06-12,2026-08-08,79.99,Churned
S00104,C0812,P030,2024-05-24,2024-09-12,19.99,Churned
S00105,C0691,P011,2023-05-26,,79.99,Active
S00106,C0898,P024,2023-04-23,,79.99,Active
S00107,C0626,P019,2025-09-24,,19.99,Active
S00108,C0572,P012,2025-09-06,,49.99,Active
S00109,C0414,P021,2025-04-16,,49.99,Active
S00110,C0616,P016,2024-01-09,,49.99,Active
S00111,C0727,P024,2025-07-02,,79.99,Active
S00112,C0338,P023,2025-06-16,,79.99,Active
S00113,C0514,P020,2025-01-16,,79.99,Active
S00114,C0492,P016,2024-10-26,,49.99,Active
S00115,C0794,P013,2023-08-11,,19.99,Active
S00116,C0315,P013,2024-07-09,2025-07-10,19.99,Churned
S00117,C0480,P022,2023-05-07,,19.99,Active
S00118,C0174,P015,2023-06-24,,49.99,Active
S00119,C0729,P008,2024-01-14,2024-10-31,79.99,Churned
S00120,C0391,P021,2025-08-30,,49.99,Active
S00121,C0299,P011,2024-12-19,2022-01-01,79.99,Active
S00122,C0232,P003,2025-09-26,,79.99,Active
S00123,C0874,P027,2024-06-04,,99.99,Active
S00124,C0273,P012,2025-10-29,,49.99,Active
S00125,C0333,P020,2024-09-16,,79.99,Active
S00126,C0106,P027,2025-02-13,,99.99,Active
S00127,C0942,P022,2023-04-21,2024-04-14,19.99,Churned
S00128,C0995,P026,2025-08-07,,49.99,Active
S00129,C0962,P008,2024-04-14,2024-07-02,79.99,Churned
S00130,C0842,P018,2024-12-28,,99.99,Active
S00131,C0514,P029,2023-10-05,,49.99,Active
S00132,C0571,P001,2023-11-13,2024-10-22,149.99,Churned
S00133,C0992,P021,2024-09-29,2025-04-23,49.99,Churned
S00134,C0469,P022,2023-05-17,,19.99,Active
S00135,C0129,P019,2024-12-01,,19.99,Active
S00136,C0577,P004,2024-06-04,,79.99,Active
S00137,C0155,P004,2024-06-09,,79.99,Active
S00138,C0440,P006,2023-01-23,,19.99,Active
S00139,C0713,P007,2023-12-09,,49.99,Active
S00140,C0495,P024,2025-02-22,,79.99,Active
S00141,C0960,P012,2023-02-16,,49.99,Active
S00142,C0479,P005,2025-03-26,,79.99,Active
S00143,C0843,P004,2025-11-29,,79.99,Active
S00144,C0322,P016,2024-08-12,,49.99,Active
S00145,C0848,P021,2025-05-04,,49.99,Active
S00146,C0143,P026,2024-05-07,,49.99,Active
S00147,C0530,P007,2025-07-05,,49.99,Active
S00148,C0703,P005,2025-05-10,,79.99,Active
S00149,C0798,P009,2025-08-27,,49.99,Active
S00150,C0137,P019,2024-09-30,,19.99,Active
S00151,C0293,P022,2025-11-23,,19.99,Active
S00152,C0554,P016,2024-08-30,,49.99,Active
S00153,C0273,P017,2024-10-16,2026-01-07,149.99,Churned
S00154,C0778,P024,2025-08-13,,79.99,Active
S00155,C0534,P014,2025-02-11,2025-04-16,29.99,Churned
S00156,C0822,P010,2023-12-09,,149.99,Active
S00157,C0562,P016,2025-06-20,2026-05-29,49.99,Churned
S00158,C0878,P008,2023-02-20,2024-01-27,79.99,Churned
S00159,C0248,P026,2023-12-07,,49.99,Active
S00160,C0095,P009,2023-09-08,,49.99,Active
S00161,C0553,P018,2024-03-09,,99.99,Active
S00162,C0966,P026,2023-09-09,,49.99,Active
S00163,C0693,P024,2023-06-12,2024-09-06,79.99,Churned
S00164,C0038,P015,2023-10-18,,49.99,Active
S00165,C0539,P021,2024-08-07,,49.99,Active
S00166,C0369,P028,2024-01-17,,29.99,Active
S00167,C0507,P014,2025-07-04,,29.99,Active
S00168,C0046,P007,2024-12-06,,49.99,Active
S00169,C0085,P003,2024-04-08,,79.99,Active
S00170,C0669,P026,2023-01-16,,49.99,Active
S00171,C0984,P015,2023-06-24,,49.99,Active
S00172,C0311,P007,2023-09-22,2024-01-20,49.99,Churned
S00173,C0287,P011,2024-11-13,2025-05-22,79.99,Churned
S00174,C0386,P012,2023-02-21,,49.99,Active
S00175,C0476,P030,2023-07-16,,19.99,Active
S00176,C0969,P021,2025-04-11,,49.99,Active
S00177,C0836,P005,2023-01-15,,79.99,Active
S00178,C0666,P005,2024-08-16,2025-07-11,79.99,Churned
S00179,C0337,P019,2025-01-03,,19.99,Active
S00180,C0571,P002,2024-03-19,2024-10-31,29.99,Churned
S00181,C0954,P015,2024-12-11,,49.99,Active
S00182,C0109,P021,2025-11-25,2026-08-14,49.99,Churned
S00183,C0092,P012,2025-04-21,2026-03-02,49.99,Churned
S00184,C0064,P026,2024-01-29,,49.99,Active
S00185,C0819,P003,2023-05-11,,79.99,Active
S00186,C0555,P005,2024-07-14,,79.99,Active
S00187,C0061,P019,2024-12-21,2025-08-05,19.99,Churned
S00188,C0783,P003,2025-07-31,2026-08-10,79.99,Churned
S00189,C0921,P001,2023-07-07,,149.99,Active
S00190,C0627,P022,2023-03-06,,19.99,Active
S00191,C0446,P025,2024-07-19,2025-08-10,19.99,Churned
S00192,C0464,P030,2024-07-22,,19.99,Active
S00193,C0894,P020,2025-08-24,2025-12-08,79.99,Churned
S00194,C0872,P024,2023-06-16,,79.99,Active
S00195,C0569,P028,2023-08-15,,29.99,Active
S00196,C0174,P002,2024-05-16,,29.99,Active
S00197,C0277,P001,2025-10-03,2026-08-18,149.99,Churned
S00198,C0913,P006,2023-11-10,,19.99,Active
S00199,C0824,P013,2024-03-20,,19.99,Active
S00200,C0454,P023,2025-05-07,2026-06-15,79.99,Churned
S00201,C0529,P014,2024-03-03,,29.99,Active
S00202,C0573,P003,2023-12-16,,79.99,Active
S00203,C0267,P022,2024-04-20,,19.99,Active
S00204,C0055,P026,2025-04-27,,49.99,Active
S00205,C0226,P011,2023-02-12,,79.99,Active
S00206,C0660,P018,2023-09-18,2024-11-06,99.99,Churned
S00207,C0741,P020,2025-08-25,,79.99,Active
S00208,C0404,P028,2024-03-17,,29.99,Active
S00209,C0955,P027,2023-12-05,,99.99,Active
S00210,C0487,P001,2023-11-14,,149.99,Active
S00211,C0334,P028,2023-03-24,,29.99,Active
S00212,C0051,P001,2023-07-21,2023-11-11,149.99,Churned
S00213,C0524,P022,2024-11-19,,19.99,Active
S00214,C0889,P003,2023-04-29,,79.99,Active
S00215,C0857,P006,2023-02-06,,19.99,Active
S00216,C0662,P003,2025-11-02,2026-02-12,79.99,Churned
S00217,C0521,P015,2023-04-30,,49.99,Active
S00218,C0242,P002,2025-03-13,,29.99,Active
S00219,C0052,P004,2023-02-25,,79.99,Active
S00220,C0617,P006,2025-12-05,,19.99,Active
S00221,C0429,P002,2023-03-02,,29.99,Active
S00222,C0538,P012,2023-06-03,,49.99,Active
S00223,C0747,P006,2024-08-25,2025-10-30,19.99,Churned
S00224,C0724,P013,2025-08-29,2026-08-31,19.99,Churned
S00225,C0130,P002,2024-02-09,,29.99,Active
S00226,C0617,P003,2024-07-21,,79.99,Active
S00227,C0383,P007,2025-11-13,,49.99,Active
S00228,C0074,P023,2024-06-03,,79.99,Active
S00229,C0387,P016,2025-08-07,,49.99,Active
S00230,C0230,P002,2024-07-04,,29.99,Active
S00231,C0365,P006,2024-01-11,,19.99,Active
S00232,C0248,P010,2024-07-13,,149.99,Active
S00233,C0245,P029,2024-08-11,,49.99,Active
S00234,C0104,P009,2024-01-02,2024-12-09,49.99,Churned
S00235,C0294,P008,2023-10-30,,79.99,Active
S00236,C0330,P009,2025-11-18,,49.99,Active
S00237,C0869,P006,2023-06-28,,19.99,Active
S00238,C0446,P023,2023-06-22,,79.99,Active
S00239,C0465,P020,2023-10-20,,79.99,Active
S00240,C0613,P012,2025-04-30,,49.99,Active
S00241,C0734,P028,2025-06-17,2026-07-04,29.99,Churned
S00242,C0290,P022,2023-08-08,,19.99,Active
S00243,C0359,P026,2024-04-09,,49.99,Active
S00244,C0549,P014,2024-07-16,,29.99,Active
S00245,C0044,P010,2025-10-21,,149.99,Active
S00246,C0006,P017,2025-10-10,,149.99,Active
S00247,C0342,P009,2025-09-07,,49.99,Active
S00248,C0640,P019,2025-03-19,,19.99,Active
S00249,C0461,P001,2025-02-07,2025-09-28,149.99,Churned
S00250,C0425,P017,2024-03-07,,149.99,Active
S00251,C0784,P013,2023-09-05,,19.99,Active
S00252,C0991,P018,2024-01-31,,99.99,Active
S00253,C0994,P013,2023-01-25,,19.99,Active
S00254,C0037,P012,2025-06-11,,49.99,Active
S00255,C0686,P006,2023-04-08,,19.99,Active
S00256,C0729,P004,2023-10-16,,79.99,Active
S00257,C0782,P019,2023-02-22,,19.99,Active
S00258,C0840,P027,2023-08-03,,99.99,Active
S00259,C0770,P002,2023-04-28,2023-12-26,29.99,Churned
S00260,C0606,P005,2025-12-12,2026-08-31,79.99,Churned
S00261,C0052,P016,2024-04-09,,49.99,Active
S00262,C0499,P015,2023-07-24,,49.99,Active
S00263,C0844,P021,2024-03-02,,49.99,Active
S00264,C0396,P028,2023-02-04,2023-11-19,29.99,Churned
S00265,C0033,P015,2025-04-04,,49.99,Active
S00266,C0632,P018,2025-09-20,,99.99,Active
S00267,C0248,P020,2024-08-09,,79.99,Active
S00268,C0377,P006,2024-08-16,,19.99,Active
S00269,C0437,P028,2023-08-26,,29.99,Active
S00270,C0047,P005,2024-09-14,,79.99,Active
S00271,C0510,P026,2024-06-18,,49.99,Active
S00272,C0228,P014,2024-05-31,2025-02-05,29.99,Churned
S00273,C0960,P015,2025-11-25,,49.99,Active
S00274,C0819,P014,2024-01-23,,29.99,Active
S00275,C0623,P013,2025-06-27,2026-06-16,19.99,Churned
S00276,C0497,P017,2025-11-28,,149.99,Active
S00277,C0641,P013,2023-02-10,2023-06-12,19.99,Churned
S00278,C0168,P016,2023-04-11,2024-03-13,49.99,Churned
S00279,C0964,P011,2024-11-08,,79.99,Active
S00280,C0175,P025,2023-07-22,,19.99,Active
S00281,C0205,P010,2024-01-28,2024-12-08,149.99,Churned
S00282,C0920,P030,2024-12-16,,19.99,Active
S00283,C0950,P015,2025-02-23,2025-08-09,49.99,Churned
S00284,C0450,P005,2024-12-25,,79.99,Active
S00285,C0055,P022,2024-05-13,2024-10-01,19.99,Churned
S00286,C0075,P005,2025-05-31,,79.99,Active
S00287,C0169,P001,2025-06-14,,149.99,Active
S00288,C0462,P019,2024-10-15,,19.99,Active
S00289,C0070,P002,2024-03-09,,29.99,Active
S00290,C0728,P020,2024-12-23,2025-08-25,79.99,Churned
S00291,C0060,P012,2025-04-26,,49.99,Active
S00292,C0757,P012,2024-05-21,2024-08-27,49.99,Churned
S00293,C0195,P017,2025-05-08,2026-02-14,149.99,Churned
S00294,C0269,P011,2024-02-13,,79.99,Active
S00295,C0891,P028,2025-10-18,2026-08-02,29.99,Churned
S00296,C0644,P004,2023-05-05,2024-06-18,79.99,Churned
S00297,C0935,P020,2025-04-20,2025-10-19,79.99,Churned
S00298,C0817,P007,2025-10-26,,49.99,Active
S00299,C0500,P019,2023-06-28,2024-08-31,19.99,Churned
S00300,C0089,P003,2025-02-01,2025-05-02,79.99,Churned
S00301,C0350,P002,2025-02-19,,29.99,Active
S00302,C0324,P026,2023-02-15,,49.99,Active
S00303,C0953,P005,2025-01-31,,79.99,Active
S00304,C0066,P016,2024-01-21,,49.99,Active
S00305,C0707,P020,2024-10-22,,79.99,Active
S00306,C0239,P012,2025-03-21,,49.99,Active
S00307,C0866,P019,2024-10-19,,19.99,Active
S00308,C0850,P026,2025-04-02,,49.99,Active
S00309,C0580,P003,2023-10-02,,79.99,Active
S00310,C0081,P029,2023-10-23,,49.99,Active
S00311,C0510,P026,2025-03-31,,49.99,Active
S00312,C0266,P013,2024-09-09,,19.99,Active
S00313,C0337,P018,2025-02-24,2026-07-07,99.99,Churned
S00314,C0906,P003,2025-08-26,,79.99,Active
S00315,C0412,P009,2025-08-22,2026-07-28,49.99,Churned
S00316,C0420,P022,2024-07-06,,19.99,Active
S00317,C0495,P028,2025-04-29,2025-08-12,29.99,Churned
S00318,C0764,P012,2024-04-21,,49.99,Active
S00319,C0884,P015,2024-01-19,2024-08-10,49.99,Churned
S00320,C0103,P016,2025-07-07,,49.99,Active
S00321,C0473,P005,2024-12-04,,79.99,Active
S00322,C0433,P004,2025-11-05,,79.99,Active
S00323,C0870,P019,2024-04-20,,19.99,Active
S00324,C0384,P017,2023-05-15,2024-05-17,149.99,Churned
S00325,C0279,P002,2023-12-10,,29.99,Active
